"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Antigua and Barbuda","ATG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,"1740","2180","2430","2470","2690","3170","3610","3970","4880","6040","6450","6820","7230","7470","7960","8450","8140","8700","9080","9270","9610","10090","9850","9660","10530","11450","12420","13810","15090","15250","13600","12690","12370","12780","12610","12760","12850","13580","14320","15920","16600",
"Australia","AUS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"1870","1970","2100","2270","2340","2530","2730","2970","3270","3470","3880","4640","5940","7210","7850","8070","8460","9580","10810","11850","12060","11570","12010","11990","12290","12530","14100","15560","17300","18190","18500","18860","18830","19250","20440","21900","21740","21430","21120","20110","19990","21120","25480","30310","34090","37300","42330","44050","46630","50320","60210","66020","65150","60500","54140","51560","53190","55100",
"Austria","AUT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"1060","1140","1240","1340","1470","1560","1680","1850","2070","2320","2760","3580","4650","5540","5980","6660","7540","9620","11460","11180","10380","9600","9270","9360","10820","13810","18070","19300","20630","21810","24520","24870","26140","28190","30090","29560","27970","27080","26790","25290","24970","28020","33750","38720","41460","44510","49110","49000","49610","50590","50060","50700","50370","47450","46200","45070","49080","51460",
"Azerbaijan","AZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"590","440","400","410","450","510","570","610","650","710","810","940","1270","1900","2710","3870","4790","5370","5460","6410","7410","7690","6570","4760","4090","4060","4480",
"Burundi","BDI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"70","80","80","70","60","50","50","50","70","70","70","80","100","110","120","140","150","180","220","250","240","230","220","240","250","260","250","230","220","220","210","180","160","150","140","150","150","140","130","130","130","120","120","140","150","170","190","200","220","230","250","260","260","260","270","280","280","280",
"Belgium","BEL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"1450","1530","1670","1800","1950","2100","2270","2510","2790","3080","3640","4690","6000","6910","7580","8220","9560","11730","13980","13190","11180","9430","8860","8820","10170","13090","17010","18030","19310","20580","23170","23410","25090","27070","28550","28450","26530","25980","25860","24430","24000","27030","32810","37730","39900","42700","46470","46840","46950","46400","47100","47880","47800","45540","43360","42490","46100","48030",
"Benin","BEN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"90","100","110","110","110","120","120","120","120","120","130","160","190","200","210","230","250","310","390","410","360","290","270","260","270","310","360","340","370","380","370","380","330","360","350","380","370","410","480","530","530","600","730","820","860","920","1030","1080","1080","1090","1120","1220","1270","1180","1110","1090","1200","1250",
"Burkina Faso","BFA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"80","80","80","80","80","90","90","90","90","90","90","110","140","160","170","170","200","250","300","300","280","240","210","210","240","270","330","330","330","360","320","280","230","230","250","250","250","270","270","280","270","320","390","460","490","510","570","610","650","680","730","770","760","700","680","670","750","780",
"Bangladesh","BGD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,"120","160","210","200","170","170","190","230","260","250","230","220","230","250","280","290","300","320","320","330","320","320","340","370","400","420","420","440","440","440","460","510","550","570","610","660","730","800","890","970","1040","1110","1220","1370","1520","1750","1940",
"Bulgaria","BGR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,"2360","2090","2010","1950","2190","2720","3110","2830","2250","1620","1430","1250","1240","1520","1590","1460","1440","1480","1660","1770","1970","2370","3060","3800","4300","4810","6070","6670","6940","7220","7440","7590","7740","7450","7430","7640","8560","9570",
"Bahrain","BHR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,"8520","9150","9310","7900","7230","7700","7800","7660","9070","9800","9890","10030","9680","10380","10790","10310","10070","9870","10940","11500","12060","12940","14570","16550","17890","19660","20860","18830","18970","18160","22010","23790","24070","22580","21570","21250","21910","22110",
"Bahamas, The","BHS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"1550","1650","1760","1900","2040","2230","2450","2760","2920","3110","3190","3740","3840","4640","3120","3360","3720","5200","6050","5790","6360","6640","7700","8510","9400","10800","11710","12440","11870","11330","11550","11310","11600","14260","15930","14650","17630","24190","25940","26560","27190","27760","29270","30570","30760","31090","30960","29010","28360","28030","29020","28440","28000","28400","29210","30900","31990","33460",
"Bosnia and Herzegovina","BIH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"760","1010","1330","1400","1490","1600","1770","2040","2590","3180","3510","3920","4730","4970","4960","5010","4990","5270","5300","5210","5130","5140","5770","6170",
"Belarus","BLR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1790","1600","1450","1360","1450","1530","1550","1400","1380","1300","1380","1630","2170","2810","3520","4310","5500","5700","6150","6260","6610","7010","7590","6710","5620","5300","5700","6290",
"Belize","BLZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"330","340","350","370","390","420","420","420","420","450","520","600","730","840","800","850","930","1120","1420","1430","1290","1150","1160","1200","1350","1610","1870","2080","2260","2420","2680","2790","2770","2860","2880","2890","2780","2880","3150","3130","3200","3420","3560","3620","3740","3670","3880","4050","3880","4050","4100","4180","4250","4400","4330","4390","4450","4480",
"Bermuda","BMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"2170","2160","2360","2460","2830","3210","3240","3340","3570","4010","4550","5430","6490","7570","8290","8960","9680","10700","12790","14120","13710","14820","16510","17870","21170","24040","26620","26500","27060","27400","29000","30890","31730","34290",,,,,,,,,,,,"99790","107640","104080","103480","101610","100100","101760","99920","101120","103620","112940","116990","117730",
"Bolivia","BOL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,"550","580","650","760","820","900","860","840","850","840","740","720","710","720","720","740","770","790","810","850","900","950","990","980","980","950","920","910","950","1020","1110","1220","1480","1620","1780","2000","2250","2590","2830","2960","3040","3090","3370","3520",
"Brazil","BRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,"280","310","370","410","450","510","590","760","980","1180","1360","1490","1680","1970","2200","2090","2010","1730","1630","1580","1800","2050","2260","2760","2730","3280","3170","3090","3030","3760","4460","5020","4840","4120","3930","3350","3090","2980","3340","4000","4850","6190","7620","8320","9650","11080","12310","12790","12120","10190","8920","8700","9080","9130",
"Barbados","BRB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,"5910","6690","7430","7860","7600","7570","7460","7690","8010","8340","8700","9050","9420","9820","10780","10630","10650","11300","12290","13240","14220","15530","16180","15730","15540","15050","15720","15660","15630","15740","15920","16070","16700","17380",
"Brunei Darussalam","BRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12090","12460","13580","15160","15030","15090","15680","16210","16220","14420","14040","14680","16070","17140","17810","19990","23090","27580","30930","34150","32460","33300","35520","42370","45320","43090","38850","33170","29800","29390","32230",
"Bhutan","BTN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,"290","270","300","300","350","490","550","570","580","500","470","440","470","490","530","580","550","580","730","770","810","910","1030","1200","1330","1640","1770","1860","2040","2240","2390","2410","2460","2520","2650","2800","2970","3140",
"Botswana","BWA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"80","80","90","90","100","100","120","140","160","200","260","350","440","520","540","580","690","890","1110","1340","1290","1170","1090","1070","1150","1340","1980","2320","2720","3070","3270","3330","2960","3260","3180","3330","3210","3150","3170","3260","2930","3370","3920","4930","5440","5730","5740","5330","5610","6610","7250","7570","7520","6840","6560","6690","7340","7650",
"Central African Republic","CAF","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"80","80","80","90","90","100","100","110","110","110","120","140","170","190","210","240","280","310","360","350","340","270","270","290","340","420","490","490","480","480","470","450","370","350","300","300","280","280","260","260","250","260","300","340","350","380","420","480","510","530","570","380","390","400","410","440","490","520",
"Canada","CAN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,"4240","4480","5010","6050","7180","8010","8770","9120","9750","10600","11600","12380","11900","12190","13150","13940","14570","16330","18620","19860","20640","20980","21410","21270","20890","20850","20810","20190","20200","21210","22620","23030","23620","25860","29900","34800","38500","43080","45640","43230","44480","47180","51000","52770","52180","47570","43870","42990","45000","46370",
"Central Europe and the Baltics","CEB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2231.97033061755","2433.16825149656","2708.11555196599","3162.786212427","3616.07671678731","3823.54941126943","3863.99749191657","3909.49437684882","4086.8331848078","4167.25228968479","4426.45081465551","5184.94294577994","6375.71054766774","7734.9042823438","8864.86218349534","10303.2913536757","12400.7368074793","12756.669820179","12802.1297787448","12935.8019151527","13078.0286493365","13426.2535018552","13563.9099605425","13249.1116802987","12858.426740435","13081.6858807826","14653.7614447134","15889.8762565409",
"Switzerland","CHE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,"5370","7040","9040","10250","10910","12040","14010","17500","21720","21340","19120","17740","17980","18080","20360","25650","33650","35250","36930","37550","40920","40820","41900","45450","48360","48030","44940","43100","43520","40930","39700","45620","53800","61620","63990","62830","63190","70370","77570","79720","84880","88740","86560","85670","81850","78920","83730","85500",
"Channel Islands","CHI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42510","41460","40720","43340","50340","56270","60750","66230",,,,,,,,,,,,,
"Chile","CHL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"580","630","670","670","750","760","780","830","880","1060","1150","1360","1650","1150","1010","1060","1360","1790","2300","2780","2280","1820","1590","1430","1470","1660","1930","2200","2350","2600","3120","3440","3730","4420","5070","5590","5490","5120","5060","4800","4540","4510","5190","6210","7340","8690","10050","9950","10750","12340","14350","15160","14940","14130","13370","13270","14620","15010",
"China","CHN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"70","80","90","100","110","100","90","110","120","130","130","160","180","200","190","190","200","210","220","220","220","220","250","290","310","320","330","320","330","350","390","420","470","540","650","750","800","860","940","1010","1110","1280","1510","1760","2060","2510","3100","3680","4340","5050","5930","6770","7510","7940","8270","8740","9600","10390",
"Cote d'Ivoire","CIV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"160","180","220","210","230","240","270","280","300","300","320","380","480","600","680","780","950","1130","1160","1130","960","720","660","640","730","810","910","830","780","760","780","750","680","700","720","760","760","730","640","590","570","620","770","930","930","970","1070","1160","1190","1130","1230","1330","1450","1660","1840","2030","2180","2290",
"Cameroon","CMR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,"110","130","160","170","170","190","210","280","350","340","340","520","630","630","840","850","780","780","800","930","1040","1130","1070","940","890","890","930","890","840","740","720","710","710","670","640","630","730","910","1010","1060","1110","1240","1320","1330","1350","1370","1430","1490","1440","1380","1340","1450","1500",
"Congo, Dem. Rep.","COD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160","150","130","120","120","110","130","140","190","170","190","200","230","260","290","300","320","340","380","410","440","460","470","460","500","530",
"Congo, Rep.","COG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"150","150","160","170","180","190","200","220","220","230","270","340","420","500","480","450","490","610","830","1090","1220","1080","1060","990","980","1050","930","940","930","960","1060","800","680","430","470","590","580","490","560","630","670","700","770","1130","1470","1700","2150","2490","2750","2710","3500","3750","3970","3090","2240","1930","1780","1720",
"Colombia","COL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"280","280","310","310","320","300","300","320","330","360","390","460","550","590","620","690","850","1060","1250","1350","1330","1280","1280","1210","1220","1240","1300","1250","1330","1380","1560","1740","2050","2350","2540","2660","2570","2330","2340","2330","2370","2370","2620","3000","3500","4130","4710","5130","5620","6310","7290","7950","8200","7330","6460","5930","6260","6510",
"Comoros","COM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,"660","590","550","550","620","780","960","930","980","950","1100","1080","870","850","780","790","730","700","730","700","680","790","950","1090","1130","1170","1290","1370","1380","1410","1420","1490","1490","1380","1320","1280","1380","1400",
"Cabo Verde","CPV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,"510","470","450","450","510","650","840","900","900","910","1040","1190","1300","1410","1350","1350","1330","1370","1410","1350","1300","1520","1900","2160","2300","2820","3300","3480","3400","3510","3440","3490","3360","3210","3130","3080","3400","3630",
"Costa Rica","CRI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"360","350","350","370","390","410","440","470","520","570","630","760","880","970","1050","1250","1480","1740","1950","1420","1020","940","1110","1240","1440","1600","1650","1660","1750","1950","2340","2720","2960","3170","3220","3330","3380","3440","3550","3660","3750","4010","4360","4620","5030","5640","6370","6490","7180","8000","9150","9740","10090","10400","10770","11150","11590","11700",
"Caribbean small states","CSS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,"671.690645397562","702.957804038407","754.935895652583","798.2066317387","947.574484740314","1050.79608128869","1240.55055394736","1570.20031157464","1596.12062410771","1719.48023030227","1887.03185182758","2064.51929433873","2384.31082747802","2651.68752639953","2820.76254082308","2679.35366202085","2633.17333959083","2592.96349101147","2515.32230017858","2578.23924497792","2792.42458084002","2831.52135174819","2825.62667002568","2819.62127556811","2917.40991146549","2962.63917753223","3000.3952940767","3361.98022222162","3660.75678451663","3803.95358570938","4059.73529997508","4535.71116042488","4849.19027913939","4985.48657516982","5190.96169599728","5659.25352598975","6289.96440125054","6845.06700715104","7585.6698307678","8296.99600914558","9202.03670870117","8841.63774018019","8957.08507367198","8807.22213798342","9504.88082475438","9923.02722976723","9859.88593093958","9835.35731662236","9325.94310042801","9311.68984151858","9588.09420264957","10088.3342145698",
"Cuba","CUB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,"850","1040","1240","1500","1550","1600","1790","1990","2140","2430","2340","2180","2310","2310","2390","2490","2780","2750","2650","2340","2130","1870","2140","2550","2710","2500","2240","2400","2620","2760","2820","3100","3490","3960","4530","5000","5460","5520","5610","5930","6280","6640","6840","7230","7480",,,,
"Curacao","CUW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19930","19820","19620","19100","19100","20040","20350",
"Cayman Islands","CYM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70220","71050","49570","44030","42930","44370","45870","47320",,,
"Cyprus","CYP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,"1520","1800","2400","3390","4050","4490","4220","4360","4480","5020","6300","7910","8570","9300","9460","11020","10970","11680","12810","13880","14280","15490","14340","14180","14170","14510","16710","20260","23990","25600","27340","31970","32780","32040","32550","29680","27830","26510","25960","24700","24580","26620","27710",
"Czech Republic","CZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3360","3500","4170","5150","5980","6160","6110","6110","6340","6350","6650","8110","10260","12480","14000","15850","18510","18840","19400","19460","19440","19410","18900","18370","17670","18310","20520","21940",
"Germany","DEU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,"3600","4670","5800","6720","7130","7670","8870","11050","13010","12540","11120","10020","9880","9840","11240","14240","18620","19760","21300","22890","25810","25990","27530","29520","30860","30140","27950","26840","26150","24740","23610","26080","31570","35710","38230","40440","43570","43520","44550","47220","46530","47190","47620","45810","44230","43570","47050","48580",
"Djibouti","DJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2730","2870","2990","3260","3310",
"Dominica","DMA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,"710","960","1160","1210","1220","1330","1480","1790","2170","2560","2600","2810","2960","3200","3410","3490","3720","3890","4010","4200","4200","4220","4470","4270","4680","4950","5050","5490","5760","6340","6520","6730","6920","6730","6780","7020","6870","7340","7060","7710","7920",
"Denmark","DNK","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,"2870","3140","3310","3670","4310","5580","6800","8080","8960","9780","11170","13560","15090","14180","12860","11710","11520","11840","14070","17760","22130","23050","24370","25540","28700","28570","30360","32560","34770","35150","33460","33060","32580","31410","30850","34750","42640","49610","53540","55740","60390","60090","61220","61990","61650","63200","63670","60510","58040","56190","61020","63950",
"Dominican Republic","DOM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"220","240","260","230","250","250","250","280","340","370","430","520","610","710","780","830","900","1030","1140","1210","1240","1240","1300","1100","1030","940","920","910","870","1040","1340","1610","1740","1960","2170","2360","2450","2540","2680","2740","2890","2640","2560","3040","3640","4430","4760","4920","5330","5540","5790","6030","6330","6580","6860","7090","7760","8080",
"Algeria","DZA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,"240","250","230","250","280","310","330","320","440","530","710","910","1060","1100","1320","1640","1990","2200","2260","2190","2270","2400","2590","2810","2750","2550","2370","1980","1900","1730","1620","1550","1520","1510","1540","1530","1590","1670","1730","1920","2250","2710","3100","3600","4210","4290","4480","4600","5170","5510","5490","4850","4380","3950","3980","4010",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"71.3153602202403","77.5793441216907","86.2447879049881","97.718516188088","105.72729840223","99.7207724070107","96.5492622892123","108.183797180189","121.175695130279","124.587725954701","131.56973864632","158.859133154352","185.939427735281","216.337952884166","211.568546464678","225.012526780072","238.707051903612","263.559827982747","291.329961692061","308.221303353635","307.775378920548","303.760819056834","321.913685248407","344.412139742588","365.77092619685","382.064768175751","401.597764221962","403.376636414999","418.813911206817","448.933594566676","498.516152423562","541.490190023281","607.909897234929","699.298566419261","813.947812464219","882.192713634834","828.352295682802","852.501470067483","910.98587609761","982.924794933964","1064.77876052287","1210.0195485167","1423.34218875651","1636.8763459991","1894.221583624","2273.24917910431","2770.04258215819","3214.32511343707","3758.82648962309","4341.65912027603","5074.76244367314","5707.69443014075","6210.3489923717","6471.95828817575","6681.27787563461","7018.98816592413","7690.3704480893","8285.40103422743",
"Early-demographic dividend","EAR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,"198.590177076484","204.134937514056","217.870168348184","229.586253232527","242.09173251509","258.293975880487","305.631918083067","387.568419070315","462.570601779692","497.049181933031","508.70468549712","547.948606646736","639.065088840166","755.245988423196","853.557329680369","834.340867883428","774.997719249803","747.627202786956","747.960399931642","772.032355735512","808.736272512697","837.661657638893","807.049231274745","842.929136320354","885.141359512241","979.769606976908","1033.76702333488","1087.16022882964","1112.62650831885","1164.63588449613","1201.4360746856","1171.41010093499","1184.25304434303","1247.77881742379","1266.09654979976","1234.41805690777","1310.49205782462","1486.77565640541","1700.44010737622","1907.23229929085","2156.11464305757","2415.09456555853","2499.32174863809","2725.6745944901","2968.78846536552","3274.3156965663","3409.96153951189","3446.14437684467","3365.39759269694","3322.93728302736","3372.8563813022","3538.72011669569","3626.53887119376",
"East Asia & Pacific","EAS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"142.743612089277","156.158025558228","174.757625925121","193.533814629974","212.797802596631","223.811114328557","242.989934157037","276.501594314329","304.669078278567","333.955346056944","393.690487910114","500.730834497087","607.138590114969","706.792776524242","731.724425019716","790.576651328778","933.264778033716","1133.08391738607","1286.52986628515","1337.22093068898","1289.33841632659","1255.48965185781","1295.28789426366","1381.09469791911","1586.77712601824","1937.86158980647","2475.34553081766","2653.73082541172","2756.28458343878","2865.97872886719","3067.72879442479","3317.32660869406","3639.96529378806","4102.0870223463","4310.52400265846","4182.823307759","3664.24579448741","3627.38439798824","3836.31723626143","3922.16505276131","3878.21828702021","4060.44887856897","4567.93268996277","5000.63530476902","5289.57362190119","5662.89236990031","6173.58497922195","6523.29746303398","7339.11682521407","8139.69809929808","9108.21891908977","9709.99593706989","9941.99096639234","9830.23313870305","9903.3181388387","10246.7441388211","11099.8838790233","11718.0363225641",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2373.86712868011","2241.3641825876","2155.59351831543","1918.04634246008","1942.23211172329","1944.97571805264","2020.83251039274","1857.34937607876","1714.13355392443","1798.89160953826","1710.05603360481","1866.92224570092","2208.3014043671","2905.24807012765","3741.54273639947","4634.10933904416","5742.55849193453","6978.11276159288","6861.84690165446","7403.87664025539","8070.45218192465","9314.23939470583","10289.8873235655","10187.101956013","8804.29995855057","7641.99944324863","7307.41027098291","7692.1049907347","8036.58813694612",
"Europe & Central Asia","ECS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,,,,,,"1734.29211496394","2199.37647464355","2686.65758566006","3090.80945168306","3265.3119567889","3485.60403460248","3940.07281634726","4872.38008528834","5842.67799778933","5870.29114397752","5372.35597967146","4807.79042104314","4636.67839237438","4623.27703033388","5291.06750815569","6694.37791929125","8587.9980766977","9170.56758107024","9847.42938025781","10454.0904655415","11524.1583429924","11344.2876633712","11531.0007780762","12016.8653960411","12738.2602438082","12978.3903487419","12594.5165944215","12475.6201474737","12554.955414072","12149.0122116231","12070.8912214991","13640.8408386633","16579.2294215496","19223.8777094481","20834.5448769251","22553.5623561546","24563.5714594691","24325.2031060889","24520.6724531695","24988.3725834417","25300.8794281475","25996.3096384276","26021.118743988","24659.4271539892","23337.450631606","22814.4396735081","24375.4502393353","25203.4466119627",
"Ecuador","ECU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,"380","350","380","430","450","460","470","500","520","510","510","600","830","1090","1280","1360","1550","1820","2110","2460","2390","2110","1890","1820","1770","1640","1510","1360","1370","1480","1600","1670","1820","1970","2080","2180","2160","1780","1550","1550","1730","2110","2550","2880","3100","3310","3860","4060","4390","4870","5390","5810","6110","5970","5810","5860","6090","6090",
"Egypt, Arab Rep.","EGY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD",,,,,,,,"170","180","190","220","240","260","290","300","330","350","370","390","420","490","520","550","560","640","680","740","870","840","780","760","750","750","760","820","920","1020","1130","1210","1310","1420","1430","1330","1240","1200","1220","1320","1530","1840","2120","2370","2560","2840","3030","3230","3340","3440","3030","2790","2690",
