"Year","Magnitude","growth","gb","ga","dif","dgrowth_dt","USAMagnitude","ratio","dratio_dt","dratio_dt_mmov","dratio_dt2_mmov","Country","CountryCode"
1999,31300,0.610736097717776,0.117238454850619,7.05471258569807,6.93747413084745,0.379679237745483,33670,0.92961092961093,-4.16659982691828,-1.43671450000564,0.509478658951414,"Sweden","SWE"
2000,31610,0.990415335463259,1.69003276888753,7.83169583308066,6.14166306419313,-6.96953586694064,35960,0.879032258064516,-5.05786715464135,-1.75131076157469,-0.314596261569053,"Sweden","SWE"
2001,29720,-5.97912053147738,1.09423135557618,9.61711734495105,8.52288598937488,3.85933587468061,36710,0.809588667937892,-6.94435901266245,-3.89412026529238,-2.14280950371769,"Sweden","SWE"
2002,29090,-2.11978465679677,0.595356892661753,9.13028112578563,8.53492423312387,14.701427833146,37310,0.779683730903243,-2.99049370346486,-4.4830762613723,-0.588955996079921,"Sweden","SWE"
2003,32750,12.5816431763493,1.20692350653586,7.87295997727546,6.6660364707396,8.91454002975761,39770,0.823485038974101,4.3801308070858,-2.95583777812023,1.52723848325207,"Sweden","SWE"
2004,39790,21.4961832061069,3.81258125778421,5.34338049831409,1.53079924052988,-6.46728147200282,43510,0.914502413238336,9.1017374264235,-0.302170327451872,2.65366745066836,"Sweden","SWE"
2005,45770,15.028901734104,6.08699633735244,3.79856132894221,-2.28843500841023,-7.64415189796684,46190,0.990907122753843,7.64047095155068,2.23749729378653,2.53966762123841,"Sweden","SWE"
2006,49150,7.38474983613721,7.05471258569807,3.3987719814158,-3.65594060428227,-0.955451768995804,47880,1.0265246449457,3.56175221918547,4.33871954015612,2.10122224636958,"Sweden","SWE"
2007,52310,6.4292980671414,7.83169583308066,2.49648205874049,-5.33521377434017,0.0895319844739664,48500,1.07855670103093,5.20320560852303,5.9774594025537,1.63873986239758,"Sweden","SWE"
2008,55720,6.51883005161537,9.61711734495105,0.768619454447061,-8.84849789050399,-12.0464682425701,48980,1.13760718660678,5.90504855758505,6.28244295265354,0.304983550099848,"Sweden","SWE"
2009,52640,-5.52763819095477,9.13028112578563,0.56547137188135,-8.56480975390428,9.30803332773289,47730,1.10287031217264,-3.47368744341405,3.76735797868603,-2.51508497396751,"Sweden","SWE"
2010,54630,3.78039513677812,7.87295997727546,-0.329362748888277,-8.20232272616374,0.00873171659914984,48990,1.11512553582364,1.22552236509996,2.48436826139589,-1.28298971729014,"Sweden","SWE"
2011,56700,3.78912685337727,5.34338049831409,-0.178074890795542,-5.52145538910963,0.426040695123617,50570,1.12121811350603,0.609257768239391,1.89386937120668,-0.590498890189215,"Sweden","SWE"
2012,59090,4.21516754850088,3.79856132894221,-0.72883573062919,-4.5273970595714,0.371056854951479,52770,1.11976501800265,-0.145309550337824,0.824166339434504,-1.06970303177217,"Sweden","SWE"
2013,61800,4.58622440345236,3.3987719814158,0,-3.3987719814158,-4.47295579503812,53950,1.14550509731233,2.57400793096731,0.157958214110958,-0.666208125323546,"Sweden","SWE"
2014,61870,0.113268608414239,2.49648205874049,0,-2.49648205874049,-5.6894767868529,55860,1.10759040458289,-3.79146927294405,0.0944018482049591,-0.063556365905999,"Sweden","SWE"
2015,58420,-5.57620817843866,0.768619454447061,0,-0.768619454447061,-1.37346659047609,56750,1.02942731277533,-7.81630918075553,-1.71396446096614,-1.8083663091711,"Sweden","SWE"
2016,54360,-6.94967476891475,0.56547137188135,0,-0.56547137188135,4.46623106030548,57210,0.950183534347142,-7.92437784281883,-3.42069158317778,-1.70672712221164,"Sweden","SWE"
2017,53010,-2.48344370860927,-0.329362748888277,0,0.329362748888277,7.33158556863568,59080,0.897257955314827,-5.29255790323148,-4.45014125375651,-1.02944967057873,"Sweden","SWE"
2018,55580,4.84814186002641,-0.178074890795542,0,0.178074890795542,-4.48830019036106,63170,0.879848029127751,-1.74099261870768,-5.31314136369151,-0.863000109934999,"Sweden","SWE"
2019,55780,0.359841669665347,-0.72883573062919,0,0.72883573062919,NA,65850,0.84707668944571,-3.27713396820406,-5.21027430274352,0.102867060947998,"Sweden","SWE"
1960,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,"Singapore","SGP"
1961,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Singapore","SGP"
1962,490,NA,0,8.33791376432226,8.33791376432226,NA,3280,0.149390243902439,NA,NA,NA,"Singapore","SGP"
1963,530,8.16326530612245,0,9.18853972899384,9.18853972899384,-11.9368502117828,3410,0.155425219941349,0.603497603890996,NA,NA,"Singapore","SGP"
1964,510,-3.77358490566038,0,11.4949281470337,11.4949281470337,9.65593784683685,3610,0.141274238227147,-1.41509817142021,NA,NA,"Singapore","SGP"
1965,540,5.88235294117647,0,13.1447623926585,13.1447623926585,3.37690631808279,3880,0.139175257731959,-0.209898049518806,NA,NA,"Singapore","SGP"
1966,590,9.25925925925926,NA,15.3934396413358,NA,2.60514752040176,4190,0.140811455847255,0.163619811529661,NA,NA,"Singapore","SGP"
1967,660,11.864406779661,NA,18.0735243870985,NA,1.77195685670262,4370,0.151029748283753,1.02182924364975,0.0327900876262771,NA,"Singapore","SGP"
1968,750,13.6363636363636,NA,20.0215763351505,NA,-0.303030303030303,4740,0.158227848101266,0.719809981751296,0.0560525631983372,0.0232624755720601,"Singapore","SGP"
1969,850,13.3333333333333,8.33791376432226,19.5668681360814,11.2289543717591,0.784313725490195,5070,0.167652859960552,0.942501185928643,0.527572434668109,0.471519871469772,"Singapore","SGP"
1970,970,14.1176470588235,9.18853972899384,17.9888717498135,8.80033202081969,-1.74651303820497,5230,0.18546845124283,1.78155912822776,0.925863870217421,0.398291435549312,"Singapore","SGP"
1971,1090,12.3711340206186,11.4949281470337,17.877196028798,6.38226788176433,5.0600586399319,5620,0.193950177935943,0.848172669311323,1.06277444177375,0.136910571556332,"Singapore","SGP"
1972,1280,17.4311926605505,13.1447623926585,18.0152579505422,4.87049555788364,7.56880733944954,6280,0.203821656050955,0.987147811501238,1.05583815534405,-0.00693628642970245,"Singapore","SGP"
